oid,custid,ordertime
2069,418,2018-10-06 10:30:49.972199+00
2070,514,2018-10-06 10:31:20.351362+00
2071,262,2018-10-06 10:31:34.600806+00
2072,3,2018-10-06 10:31:40.141591+00
2073,497,2018-10-06 10:31:42.018472+00
2074,765,2018-10-06 10:32:28.870578+00
2075,204,2018-10-06 10:32:31.039573+00
2076,266,2018-10-06 10:33:02.104926+00
2077,112,2018-10-06 10:33:47.883193+00
2078,887,2018-10-06 10:33:55.920815+00
2079,32,2018-10-06 10:34:03.162741+00
2080,379,2018-10-06 10:35:05.231908+00
2081,120,2018-10-06 10:35:24.664855+00
2082,314,2018-10-06 10:35:32.553156+00
2083,277,2018-10-06 10:35:53.854355+00
2084,474,2018-10-06 10:36:22.675763+00
2085,890,2018-10-06 10:36:30.597671+00
2086,653,2018-10-06 10:37:22.835171+00
2087,224,2018-10-06 10:37:25.813764+00
2088,98,2018-10-06 10:37:35.963486+00
2089,817,2018-10-06 10:38:03.679852+00
2090,176,2018-10-06 10:38:19.569194+00
2091,232,2018-10-06 10:38:23.739535+00
2092,265,2018-10-06 10:38:45.227789+00
2093,391,2018-10-06 10:38:53.635313+00
2094,259,2018-10-06 10:39:06.499634+00
2095,479,2018-10-06 10:39:07.681088+00
2096,132,2018-10-06 10:39:17.578734+00
2097,116,2018-10-06 10:39:36.610721+00
2098,698,2018-10-06 10:40:01.127456+00
2099,251,2018-10-06 10:40:08.90923+00
2100,538,2018-10-06 10:40:50.526033+00
2101,346,2018-10-06 10:41:08.156882+00
2102,449,2018-10-06 10:41:32.915274+00
2103,606,2018-10-06 10:41:35.420394+00
2104,876,2018-10-06 10:41:35.782157+00
2105,123,2018-10-06 10:41:57.13993+00
2106,422,2018-10-06 10:42:44.814702+00
2107,1,2018-10-06 10:43:05.008358+00
2108,966,2018-10-06 10:43:08.678863+00
2109,506,2018-10-06 10:43:51.386219+00
2110,299,2018-10-06 10:43:57.141101+00
2111,38,2018-10-06 10:44:38.178135+00
2112,242,2018-10-06 10:44:40.052796+00
2113,148,2018-10-06 10:44:57.320224+00
2114,831,2018-10-06 10:45:07.997946+00
2115,218,2018-10-06 10:45:14.43944+00
2116,88,2018-10-06 10:45:15.989377+00
2117,195,2018-10-06 10:45:30.987463+00
2118,481,2018-10-06 10:45:43.020396+00
2119,942,2018-10-06 10:46:12.945421+00
2120,176,2018-10-06 10:46:35.238875+00
2121,556,2018-10-06 10:46:41.072501+00
2122,354,2018-10-06 10:47:23.151595+00
2123,231,2018-10-06 10:47:24.929376+00
2124,24,2018-10-06 10:48:05.497288+00
2125,482,2018-10-06 10:48:12.077009+00
2126,743,2018-10-06 10:48:21.513898+00
2127,314,2018-10-06 10:48:25.969279+00
2128,175,2018-10-06 10:48:29.439223+00
2129,927,2018-10-06 10:48:48.877458+00
2130,866,2018-10-06 10:49:25.702848+00
2131,908,2018-10-06 10:49:37.811534+00
2132,807,2018-10-06 10:49:37.831037+00
2133,219,2018-10-06 10:49:39.149599+00
2134,459,2018-10-06 10:50:06.55182+00
2135,683,2018-10-06 10:50:06.998159+00
2136,320,2018-10-06 10:50:27.336077+00
2137,792,2018-10-06 10:50:50.344578+00
2138,108,2018-10-06 10:50:50.559646+00
2139,953,2018-10-06 10:51:09.801274+00
2140,265,2018-10-06 10:51:27.549547+00
2141,927,2018-10-06 10:51:36.766484+00
2142,731,2018-10-06 10:51:41.718755+00
2143,534,2018-10-06 10:51:57.055313+00
2144,135,2018-10-06 10:51:58.510907+00
2145,276,2018-10-06 10:52:15.26761+00
2146,859,2018-10-06 10:52:44.22942+00
2147,200,2018-10-06 10:53:12.456176+00
2148,760,2018-10-06 10:53:17.809072+00
2149,366,2018-10-06 10:53:28.00547+00
2150,33,2018-10-06 10:53:57.805573+00
2151,424,2018-10-06 10:54:27.189139+00
2152,214,2018-10-06 10:54:27.356602+00
2153,789,2018-10-06 10:54:35.115197+00
2154,262,2018-10-06 10:54:53.712181+00
2155,340,2018-10-06 10:54:57.516544+00
2156,46,2018-10-06 10:55:00.169512+00
2157,837,2018-10-06 10:55:37.346646+00
2158,762,2018-10-06 10:55:50.791066+00
2159,512,2018-10-06 10:57:02.549068+00
2160,476,2018-10-06 10:57:07.199496+00
2161,102,2018-10-06 10:57:34.744725+00
2162,787,2018-10-06 10:58:24.35669+00
2163,627,2018-10-06 10:59:06.922674+00
2164,305,2018-10-06 10:59:12.973955+00
2165,893,2018-10-06 11:00:09.368715+00
2166,946,2018-10-06 11:00:34.249836+00
2167,283,2018-10-06 11:01:00.404252+00
2168,909,2018-10-06 11:01:14.75724+00
2169,923,2018-10-06 11:02:05.082387+00
2170,265,2018-10-06 11:02:05.372544+00
2171,239,2018-10-06 11:02:12.340295+00
2172,594,2018-10-06 11:02:43.386033+00
2173,490,2018-10-06 11:02:51.931786+00
2174,802,2018-10-06 11:02:52.14796+00
2175,155,2018-10-06 11:03:39.294133+00
2176,805,2018-10-06 11:03:40.898973+00
2177,139,2018-10-06 11:03:48.826626+00
2178,544,2018-10-06 11:04:07.532187+00
2179,230,2018-10-06 11:04:09.770485+00
2180,444,2018-10-06 11:04:21.239729+00
2181,674,2018-10-06 11:04:26.433545+00
2182,992,2018-10-06 11:04:37.857708+00
2183,419,2018-10-06 11:04:47.024095+00
2184,123,2018-10-06 11:04:51.691251+00
2185,724,2018-10-06 11:05:41.0372+00
2186,599,2018-10-06 11:06:45.807997+00
2187,60,2018-10-06 11:06:47.00277+00
2188,431,2018-10-06 11:06:51.70156+00
2189,307,2018-10-06 11:07:11.924299+00
2190,489,2018-10-06 11:07:29.336692+00
2191,46,2018-10-06 11:07:33.737902+00
2192,760,2018-10-06 11:08:18.412666+00
2193,739,2018-10-06 11:08:21.834352+00
2194,210,2018-10-06 11:08:36.180578+00
2195,990,2018-10-06 11:09:01.604955+00
2196,639,2018-10-06 11:09:29.317963+00
2197,601,2018-10-06 11:09:37.226984+00
2198,183,2018-10-06 11:09:45.22815+00
2199,55,2018-10-06 11:09:52.496123+00
2200,478,2018-10-06 11:10:09.448127+00
2201,814,2018-10-06 11:10:39.546458+00
2202,861,2018-10-06 11:11:23.961013+00
2203,187,2018-10-06 11:11:49.980717+00
2204,784,2018-10-06 11:12:02.340793+00
2205,846,2018-10-06 11:12:04.368439+00
2206,282,2018-10-06 11:12:21.546105+00
2207,941,2018-10-06 11:12:47.010772+00
2208,715,2018-10-06 11:13:08.700389+00
2209,782,2018-10-06 11:13:17.565594+00
2210,250,2018-10-06 11:13:35.065836+00
2211,215,2018-10-06 11:13:52.257636+00
2212,36,2018-10-06 11:13:58.37737+00
2213,169,2018-10-06 11:14:25.97421+00
2214,398,2018-10-06 11:14:41.509666+00
2215,128,2018-10-06 11:14:58.479317+00
2216,356,2018-10-06 11:15:09.651764+00
2217,93,2018-10-06 11:15:23.471446+00
2218,10,2018-10-06 11:15:39.624745+00
2219,361,2018-10-06 11:15:40.097294+00
2220,322,2018-10-06 11:15:50.876026+00
2221,604,2018-10-06 11:16:03.553286+00
2222,546,2018-10-06 11:16:19.786893+00
2223,123,2018-10-06 11:17:07.694924+00
2224,410,2018-10-06 11:17:09.726566+00
2225,934,2018-10-06 11:17:21.11162+00
2226,638,2018-10-06 11:17:22.565321+00
2227,730,2018-10-06 11:17:52.818888+00
2228,207,2018-10-06 11:17:59.379382+00
2229,708,2018-10-06 11:18:04.870135+00
2230,29,2018-10-06 11:19:01.593537+00
2231,468,2018-10-06 11:19:09.000187+00
2232,760,2018-10-06 11:19:16.377964+00
2233,534,2018-10-06 11:19:26.835572+00
2234,60,2018-10-06 11:19:53.494751+00
2235,944,2018-10-06 11:20:24.537345+00
2236,108,2018-10-06 11:20:30.714805+00
2237,939,2018-10-06 11:20:36.601677+00
2238,390,2018-10-06 11:20:38.401054+00
2239,773,2018-10-06 11:21:00.593841+00
2240,708,2018-10-06 11:21:38.243517+00
2241,892,2018-10-06 11:21:45.037184+00
2242,356,2018-10-06 11:21:52.533466+00
2243,12,2018-10-06 11:21:53.864735+00
2244,576,2018-10-06 11:21:54.959165+00
2245,57,2018-10-06 11:22:28.857409+00
2246,460,2018-10-06 11:22:54.984147+00
2247,928,2018-10-06 11:23:06.731054+00
2248,330,2018-10-06 11:23:44.429772+00
2249,651,2018-10-06 11:24:08.091669+00
2250,567,2018-10-06 11:24:12.090403+00
2251,79,2018-10-06 11:24:26.138873+00
2252,274,2018-10-06 11:25:05.916177+00
2253,758,2018-10-06 11:25:38.101584+00
2254,874,2018-10-06 11:25:50.66035+00
2255,806,2018-10-06 11:26:00.30182+00
2256,218,2018-10-06 11:26:13.750873+00
2257,274,2018-10-06 11:26:13.942988+00
2258,283,2018-10-06 11:26:40.546916+00
2259,725,2018-10-06 11:26:51.800277+00
2260,708,2018-10-06 11:27:05.587125+00
2261,852,2018-10-06 11:27:43.066594+00
2262,36,2018-10-06 11:28:13.299375+00
2263,813,2018-10-06 11:28:17.874764+00
2264,807,2018-10-06 11:28:49.075835+00
2265,544,2018-10-06 11:28:54.828874+00
2266,450,2018-10-06 11:28:58.662399+00
2267,215,2018-10-06 11:29:21.517303+00
2268,368,2018-10-06 11:29:39.573656+00
2269,602,2018-10-06 11:29:41.945109+00
2270,687,2018-10-06 11:30:12.076041+00
2271,343,2018-10-06 11:30:24.41568+00
2272,881,2018-10-06 11:30:46.173578+00
2273,659,2018-10-06 11:30:49.29506+00
2274,240,2018-10-06 11:30:50.381966+00
2275,523,2018-10-06 11:31:10.448418+00
2276,789,2018-10-06 11:31:32.741706+00
2277,950,2018-10-06 11:32:21.004997+00
2278,39,2018-10-06 11:32:33.008976+00
2279,701,2018-10-06 11:32:35.356381+00
2280,858,2018-10-06 11:32:36.52895+00
2281,503,2018-10-06 11:32:51.094607+00
2282,767,2018-10-06 11:32:56.395656+00
2283,351,2018-10-06 11:33:00.381067+00
2284,937,2018-10-06 11:33:10.596508+00
2285,781,2018-10-06 11:33:50.400344+00
2286,315,2018-10-06 11:34:20.297134+00
2287,150,2018-10-06 11:35:17.834465+00
2288,761,2018-10-06 11:35:23.58327+00
2289,362,2018-10-06 11:35:35.062453+00
2290,659,2018-10-06 11:35:41.081866+00
2291,655,2018-10-06 11:36:15.326232+00
2292,494,2018-10-06 11:36:20.840511+00
2293,574,2018-10-06 11:36:22.903702+00
2294,965,2018-10-06 11:36:27.364869+00
2295,734,2018-10-06 11:36:30.575108+00
2296,315,2018-10-06 11:36:43.24722+00
2297,472,2018-10-06 11:37:12.745021+00
2298,723,2018-10-06 11:37:14.37616+00
2299,74,2018-10-06 11:37:49.346329+00
2300,824,2018-10-06 11:38:20.86462+00
2301,728,2018-10-06 11:38:23.289973+00
2302,87,2018-10-06 11:38:55.747902+00
2303,228,2018-10-06 11:39:47.477538+00
2304,30,2018-10-06 11:40:18.461035+00
2305,477,2018-10-06 11:40:20.364122+00
2306,868,2018-10-06 11:40:56.07034+00
2307,207,2018-10-06 11:41:17.835711+00
2308,678,2018-10-06 11:41:48.786412+00
2309,280,2018-10-06 11:41:51.634346+00
2310,789,2018-10-06 11:42:41.06057+00
2311,600,2018-10-06 11:42:50.26195+00
2312,283,2018-10-06 11:42:56.261644+00
2313,875,2018-10-06 11:43:05.621053+00
2314,903,2018-10-06 11:43:40.022926+00
2315,923,2018-10-06 11:44:37.967488+00
2316,315,2018-10-06 11:44:57.700861+00
2317,140,2018-10-06 11:45:19.155078+00
2318,980,2018-10-06 11:45:58.296449+00
2319,989,2018-10-06 11:46:00.928664+00
2320,637,2018-10-06 11:46:29.147393+00
2321,129,2018-10-06 11:46:38.250782+00
2322,838,2018-10-06 11:47:37.56548+00
2323,245,2018-10-06 11:47:39.383582+00
2324,615,2018-10-06 11:47:42.384546+00
2325,221,2018-10-06 11:47:57.914304+00
2326,868,2018-10-06 11:47:58.154386+00
2327,445,2018-10-06 11:48:30.521423+00
2328,424,2018-10-06 11:48:44.912683+00
2329,213,2018-10-06 11:48:49.012346+00
2330,235,2018-10-06 11:49:17.150812+00
2331,182,2018-10-06 11:49:25.158922+00
2332,971,2018-10-06 11:49:38.871711+00
2333,345,2018-10-06 11:49:55.43502+00
2334,774,2018-10-06 11:50:07.65786+00
2335,885,2018-10-06 11:50:41.067118+00
2336,975,2018-10-06 11:51:02.720894+00
2337,763,2018-10-06 11:51:04.300683+00
2338,51,2018-10-06 11:51:33.655509+00
2339,564,2018-10-06 11:51:43.671682+00
2340,485,2018-10-06 11:52:00.803691+00
2341,708,2018-10-06 11:52:05.37883+00
2342,536,2018-10-06 11:53:12.191561+00
2343,767,2018-10-06 11:53:40.890882+00
2344,639,2018-10-06 11:54:07.885391+00
2345,373,2018-10-06 11:54:09.666175+00
2346,918,2018-10-06 11:54:40.771262+00
2347,235,2018-10-06 11:55:04.120186+00
2348,94,2018-10-06 11:55:09.696366+00
2349,700,2018-10-06 11:55:11.502977+00
2350,22,2018-10-06 11:55:17.281683+00
2351,79,2018-10-06 11:56:25.677072+00
2352,668,2018-10-06 11:56:40.538398+00
2353,217,2018-10-06 11:56:57.534858+00
2354,5,2018-10-06 11:58:23.119722+00
2355,778,2018-10-06 11:58:25.082028+00
2356,409,2018-10-06 11:58:30.837389+00
2357,557,2018-10-06 11:59:14.496016+00
2358,206,2018-10-06 11:59:27.751334+00
2359,175,2018-10-06 11:59:41.662336+00
2360,886,2018-10-06 12:00:03.532054+00
2361,77,2018-10-06 12:00:21.864425+00
2362,35,2018-10-06 12:00:29.44752+00
2363,594,2018-10-06 12:00:55.669297+00
2364,740,2018-10-06 12:01:37.484326+00
2365,827,2018-10-06 12:01:47.670071+00
2366,392,2018-10-06 12:02:14.817938+00
2367,555,2018-10-06 12:02:22.651414+00
2368,514,2018-10-06 12:02:54.038818+00
2369,606,2018-10-06 12:03:07.608861+00
2370,25,2018-10-06 12:03:19.814364+00
2371,968,2018-10-06 12:03:22.784554+00
2372,230,2018-10-06 12:03:51.823792+00
2373,553,2018-10-06 12:04:01.838194+00
2374,577,2018-10-06 12:04:20.739647+00
2375,905,2018-10-06 12:04:46.234573+00
2376,406,2018-10-06 12:04:52.049264+00
2377,582,2018-10-06 12:04:59.108605+00
2378,999,2018-10-06 12:05:26.020514+00
2379,167,2018-10-06 12:05:44.433796+00
2380,193,2018-10-06 12:05:55.522315+00
2381,140,2018-10-06 12:06:04.072791+00
2382,512,2018-10-06 12:06:52.700614+00
2383,495,2018-10-06 12:07:09.156424+00
2384,536,2018-10-06 12:07:16.319315+00
2385,855,2018-10-06 12:07:31.856908+00
2386,381,2018-10-06 12:07:39.148728+00
2387,675,2018-10-06 12:07:47.622978+00
2388,454,2018-10-06 12:07:52.637956+00
2389,131,2018-10-06 12:08:11.388078+00
2390,825,2018-10-06 12:08:29.392635+00
2391,457,2018-10-06 12:08:30.78273+00
2392,68,2018-10-06 12:08:56.147624+00
2393,741,2018-10-06 12:09:01.037468+00
2394,633,2018-10-06 12:09:23.532191+00
2395,377,2018-10-06 12:09:26.065697+00
2396,981,2018-10-06 12:09:29.288918+00
2397,15,2018-10-06 12:09:35.942614+00
2398,921,2018-10-06 12:09:46.614894+00
2399,176,2018-10-06 12:10:14.966133+00
2400,162,2018-10-06 12:10:49.313373+00
2401,420,2018-10-06 12:11:07.213704+00
2402,320,2018-10-06 12:11:27.455518+00
2403,626,2018-10-06 12:11:37.609905+00
2404,306,2018-10-06 12:11:39.045552+00
2405,944,2018-10-06 12:12:05.413939+00
2406,293,2018-10-06 12:12:08.356548+00
2407,704,2018-10-06 12:12:45.398673+00
2408,633,2018-10-06 12:12:50.068854+00
2409,976,2018-10-06 12:12:57.990594+00
2410,683,2018-10-06 12:14:21.480895+00
2411,264,2018-10-06 12:14:41.473472+00
2412,472,2018-10-06 12:15:21.746264+00
2413,971,2018-10-06 12:15:29.7559+00
2414,509,2018-10-06 12:15:30.671042+00
2415,789,2018-10-06 12:16:21.080027+00
2416,828,2018-10-06 12:16:29.498326+00
2417,64,2018-10-06 12:16:30.236554+00
2418,839,2018-10-06 12:17:05.579603+00
2419,250,2018-10-06 12:17:11.704069+00
2420,582,2018-10-06 12:17:17.140934+00
2421,242,2018-10-06 12:17:43.511659+00
2422,119,2018-10-06 12:17:50.866981+00
2423,838,2018-10-06 12:18:09.507442+00
2424,23,2018-10-06 12:18:26.958322+00
2425,954,2018-10-06 12:18:29.000501+00
2426,493,2018-10-06 12:18:38.414964+00
2427,784,2018-10-06 12:19:20.011112+00
2428,635,2018-10-06 12:19:36.436595+00
2429,739,2018-10-06 12:19:41.055775+00
2430,177,2018-10-06 12:19:55.06173+00
2431,197,2018-10-06 12:20:39.760419+00
2432,539,2018-10-06 12:20:47.926472+00
2433,639,2018-10-06 12:20:50.26989+00
2434,51,2018-10-06 12:20:54.357923+00
2435,158,2018-10-06 12:21:22.432362+00
2436,190,2018-10-06 12:21:29.156375+00
2437,352,2018-10-06 12:21:39.128066+00
2438,60,2018-10-06 12:22:39.471074+00
2439,982,2018-10-06 12:22:47.783932+00
2440,993,2018-10-06 12:22:52.217666+00
2441,965,2018-10-06 12:23:00.994726+00
2442,135,2018-10-06 12:23:02.940603+00
2443,799,2018-10-06 12:23:17.4192+00
2444,267,2018-10-06 12:23:18.949143+00
2445,412,2018-10-06 12:23:23.604281+00
2446,542,2018-10-06 12:23:46.962371+00
2447,52,2018-10-06 12:24:05.709633+00
2448,560,2018-10-06 12:24:43.415671+00
2449,776,2018-10-06 12:24:44.71351+00
2450,830,2018-10-06 12:24:57.158235+00
2451,40,2018-10-06 12:25:34.944129+00
2452,579,2018-10-06 12:25:41.370954+00
2453,712,2018-10-06 12:26:09.551981+00
2454,559,2018-10-06 12:26:18.409152+00
2455,44,2018-10-06 12:26:38.65899+00
2456,772,2018-10-06 12:27:03.136116+00
2457,941,2018-10-06 12:27:06.678738+00
2458,621,2018-10-06 12:27:20.589079+00
2459,146,2018-10-06 12:27:54.323713+00
2460,414,2018-10-06 12:28:10.704252+00
2461,58,2018-10-06 12:28:24.249099+00
2462,74,2018-10-06 12:28:33.11267+00
2463,202,2018-10-06 12:28:41.72709+00
2464,360,2018-10-06 12:28:43.721948+00
2465,849,2018-10-06 12:29:14.706266+00
2466,491,2018-10-06 12:29:27.249211+00
2467,141,2018-10-06 12:29:30.226469+00
2468,426,2018-10-06 12:29:40.721517+00
2469,943,2018-10-06 12:30:21.536504+00
2470,372,2018-10-06 12:30:31.508999+00
2471,815,2018-10-06 12:30:41.679646+00
2472,722,2018-10-06 12:30:49.287825+00
2473,530,2018-10-06 12:31:34.239363+00
2474,801,2018-10-06 12:31:43.410864+00
2475,438,2018-10-06 12:31:58.086849+00
2476,755,2018-10-06 12:32:00.956627+00
2477,298,2018-10-06 12:32:45.271867+00
2478,929,2018-10-06 12:33:04.72343+00
2479,453,2018-10-06 12:33:17.325645+00
2480,777,2018-10-06 12:33:19.434259+00
2481,844,2018-10-06 12:33:36.988558+00
2482,579,2018-10-06 12:33:38.563705+00
2483,528,2018-10-06 12:33:45.515431+00
2484,398,2018-10-06 12:34:11.747843+00
2485,249,2018-10-06 12:34:14.68583+00
2486,256,2018-10-06 12:34:43.475391+00
2487,362,2018-10-06 12:35:13.647254+00
2488,273,2018-10-06 12:35:32.200936+00
2489,668,2018-10-06 12:35:42.003687+00
2490,704,2018-10-06 12:36:08.672896+00
2491,73,2018-10-06 12:36:10.051356+00
2492,29,2018-10-06 12:36:38.004995+00
2493,344,2018-10-06 12:36:57.720731+00
2494,865,2018-10-06 12:37:11.416822+00
2495,74,2018-10-06 12:37:23.254882+00
2496,705,2018-10-06 12:37:27.839769+00
2497,812,2018-10-06 12:37:35.659271+00
2498,68,2018-10-06 12:38:00.893979+00
2499,49,2018-10-06 12:38:21.154758+00
2500,26,2018-10-06 12:38:23.546106+00
2501,673,2018-10-06 12:38:43.770731+00
2502,376,2018-10-06 12:38:44.071969+00
2503,637,2018-10-06 12:39:11.17193+00
2504,203,2018-10-06 12:39:22.444422+00
2505,901,2018-10-06 12:39:30.4527+00
2506,274,2018-10-06 12:39:32.688394+00
2507,781,2018-10-06 12:40:05.505473+00
2508,356,2018-10-06 12:40:28.151947+00
2509,335,2018-10-06 12:41:08.09326+00
2510,866,2018-10-06 12:41:11.590316+00
2511,291,2018-10-06 12:41:27.138186+00
2512,729,2018-10-06 12:41:33.7542+00
2513,90,2018-10-06 12:42:21.050892+00
2514,926,2018-10-06 12:42:24.672723+00
2515,581,2018-10-06 12:42:55.164632+00
2516,29,2018-10-06 12:43:10.471375+00
2517,102,2018-10-06 12:44:19.905053+00
2518,441,2018-10-06 12:44:39.413873+00
2519,151,2018-10-06 12:44:50.525396+00
2520,542,2018-10-06 12:44:54.192422+00
2521,700,2018-10-06 12:45:16.240642+00
2522,743,2018-10-06 12:45:21.285143+00
2523,296,2018-10-06 12:45:23.238852+00
2524,789,2018-10-06 12:45:58.811568+00
2525,881,2018-10-06 12:46:21.440395+00
2526,73,2018-10-06 12:46:40.264781+00
2527,930,2018-10-06 12:46:42.781097+00
2528,398,2018-10-06 12:46:48.591348+00
2529,324,2018-10-06 12:46:56.397583+00
2530,860,2018-10-06 12:47:33.517586+00
2531,32,2018-10-06 12:47:42.022488+00
2532,810,2018-10-06 12:47:48.091693+00
2533,40,2018-10-06 12:48:05.641725+00
2534,419,2018-10-06 12:48:07.80434+00
2535,437,2018-10-06 12:49:04.582948+00
2536,215,2018-10-06 12:49:17.853469+00
2537,256,2018-10-06 12:49:19.605438+00
2538,663,2018-10-06 12:49:44.383691+00
2539,406,2018-10-06 12:49:55.81392+00
2540,323,2018-10-06 12:49:59.648842+00
2541,955,2018-10-06 12:50:06.178812+00
2542,376,2018-10-06 12:50:34.14163+00
2543,33,2018-10-06 12:50:43.7509+00
2544,491,2018-10-06 12:51:14.154631+00
2545,286,2018-10-06 12:51:15.79435+00
2546,99,2018-10-06 12:51:26.127742+00
2547,51,2018-10-06 12:51:42.007045+00
2548,30,2018-10-06 12:52:02.312115+00
2549,183,2018-10-06 12:52:04.23529+00
2550,288,2018-10-06 12:52:13.478673+00
2551,430,2018-10-06 12:52:58.555548+00
2552,97,2018-10-06 12:53:14.973795+00
2553,987,2018-10-06 12:53:38.363+00
2554,97,2018-10-06 12:54:16.132032+00
2555,306,2018-10-06 12:54:19.853165+00
2556,475,2018-10-06 12:54:22.408939+00
2557,291,2018-10-06 12:54:53.37481+00
2558,52,2018-10-06 12:55:28.735467+00
2559,400,2018-10-06 12:55:30.355731+00
2560,813,2018-10-06 12:56:22.815741+00
2561,220,2018-10-06 12:56:24.702634+00
2562,410,2018-10-06 12:56:41.790012+00
2563,545,2018-10-06 12:57:53.378048+00
2564,792,2018-10-06 12:57:54.693387+00
2565,962,2018-10-06 12:58:30.471017+00
2566,503,2018-10-06 12:58:35.716607+00
2567,802,2018-10-06 12:58:58.886234+00
2568,514,2018-10-06 12:59:11.429236+00
2569,257,2018-10-06 12:59:19.088764+00
2570,911,2018-10-06 12:59:36.530451+00
2571,6,2018-10-06 12:59:48.917277+00
2572,705,2018-10-06 13:00:22.546918+00
2573,52,2018-10-06 13:00:31.131795+00
2574,223,2018-10-06 13:00:48.546921+00
2575,256,2018-10-06 13:01:01.44675+00
2576,752,2018-10-06 13:01:31.270655+00
2577,480,2018-10-06 13:02:44.051103+00
2578,527,2018-10-06 13:02:47.047188+00
2579,329,2018-10-06 13:02:50.814816+00
2580,39,2018-10-06 13:03:24.218035+00
2581,790,2018-10-06 13:03:30.057884+00
2582,49,2018-10-06 13:03:44.113085+00
2583,354,2018-10-06 13:04:02.30587+00
2584,869,2018-10-06 13:04:11.390768+00
2585,53,2018-10-06 13:04:16.896374+00
2586,576,2018-10-06 13:05:03.965422+00
2587,179,2018-10-06 13:05:19.838283+00
2588,231,2018-10-06 13:05:44.410524+00
2589,788,2018-10-06 13:05:52.620813+00
2590,808,2018-10-06 13:06:10.914403+00
2591,184,2018-10-06 13:06:21.418042+00
2592,474,2018-10-06 13:06:54.93346+00
2593,593,2018-10-06 13:08:16.9964+00
2594,801,2018-10-06 13:08:32.13213+00
2595,609,2018-10-06 13:09:43.704264+00
2596,984,2018-10-06 13:10:04.598171+00
2597,633,2018-10-06 13:10:11.118884+00
2598,421,2018-10-06 13:11:21.739358+00
2599,296,2018-10-06 13:11:23.560629+00
2600,213,2018-10-06 13:11:42.1022+00
2601,348,2018-10-06 13:12:56.965371+00
2602,343,2018-10-06 13:13:08.907335+00
2603,566,2018-10-06 13:13:10.174898+00
2604,256,2018-10-06 13:13:50.471766+00
2605,662,2018-10-06 13:14:12.458373+00
2606,906,2018-10-06 13:14:43.797999+00
2607,89,2018-10-06 13:14:49.23887+00
2608,14,2018-10-06 13:14:53.813219+00
2609,718,2018-10-06 13:15:08.053796+00
2610,115,2018-10-06 13:16:03.159253+00
2611,225,2018-10-06 13:17:00.396684+00
2612,463,2018-10-06 13:17:18.564082+00
2613,266,2018-10-06 13:18:18.739832+00
2614,848,2018-10-06 13:18:19.354846+00
2615,998,2018-10-06 13:18:31.543327+00
2616,805,2018-10-06 13:18:57.849237+00
2617,473,2018-10-06 13:18:58.874717+00
2618,154,2018-10-06 13:19:01.996939+00
2619,9,2018-10-06 13:19:22.652076+00
2620,379,2018-10-06 13:19:51.133211+00
2621,139,2018-10-06 13:19:51.734699+00
2622,350,2018-10-06 13:21:03.316916+00
2623,917,2018-10-06 13:21:04.797855+00
2624,491,2018-10-06 13:21:07.082973+00
2625,428,2018-10-06 13:21:27.582249+00
2626,936,2018-10-06 13:21:43.712105+00
2627,397,2018-10-06 13:21:45.678491+00
2628,323,2018-10-06 13:22:10.329403+00
2629,786,2018-10-06 13:22:57.573786+00
2630,580,2018-10-06 13:23:06.402771+00
2631,203,2018-10-06 13:23:18.29499+00
2632,134,2018-10-06 13:23:21.184875+00
2633,886,2018-10-06 13:23:27.820221+00
2634,370,2018-10-06 13:23:38.392707+00
2635,237,2018-10-06 13:23:46.044898+00
2636,953,2018-10-06 13:24:05.185618+00
2637,891,2018-10-06 13:24:24.268765+00
2638,74,2018-10-06 13:24:30.574252+00
2639,908,2018-10-06 13:24:31.844696+00
2640,98,2018-10-06 13:24:52.558807+00
2641,130,2018-10-06 13:25:43.915836+00
2642,210,2018-10-06 13:25:58.01039+00
2643,840,2018-10-06 13:26:10.412988+00
2644,760,2018-10-06 13:26:42.1215+00
2645,633,2018-10-06 13:26:49.685372+00
2646,561,2018-10-06 13:27:38.213422+00
2647,539,2018-10-06 13:27:52.706488+00
2648,997,2018-10-06 13:28:17.337596+00
2649,132,2018-10-06 13:29:10.115682+00
2650,186,2018-10-06 13:29:10.446057+00
2651,413,2018-10-06 13:29:42.26791+00
2652,230,2018-10-06 13:29:48.433686+00
2653,275,2018-10-06 13:30:05.633359+00
2654,663,2018-10-06 13:30:05.967617+00
2655,577,2018-10-06 13:30:07.774904+00
2656,372,2018-10-06 13:30:40.681689+00
2657,438,2018-10-06 13:31:08.615063+00
2658,625,2018-10-06 13:31:19.762088+00
2659,643,2018-10-06 13:31:52.793805+00
2660,194,2018-10-06 13:32:02.635543+00
2661,857,2018-10-06 13:32:21.445157+00
2662,121,2018-10-06 13:32:29.220204+00
2663,298,2018-10-06 13:33:36.530363+00
2664,506,2018-10-06 13:33:45.277422+00
2665,440,2018-10-06 13:33:54.915032+00
2666,831,2018-10-06 13:33:59.682913+00
2667,549,2018-10-06 13:34:41.406286+00
2668,173,2018-10-06 13:34:48.028002+00
2669,661,2018-10-06 13:35:20.251512+00
2670,306,2018-10-06 13:35:43.910617+00
2671,22,2018-10-06 13:36:07.452326+00
2672,994,2018-10-06 13:36:11.362677+00
2673,921,2018-10-06 13:36:18.435968+00
2674,24,2018-10-06 13:36:52.117725+00
2675,582,2018-10-06 13:37:07.466997+00
2676,558,2018-10-06 13:37:22.948124+00
